a|0.07981999456
b|0.01305805091
c|0.0126412141
d|0.03999931945
e|0.0863362597
f|0.01724343269
g|0.02434667211
h|0.01777936573
i|0.04948448346
j|0.005223220362
k|0.02671158296
l|0.044873758
m|0.02952735811
n|0.0726657139
o|0.03812780727
p|0.01564414047
q|0.0001701374711
r|0.07172145093
s|0.05606029672
t|0.0654263645
u|0.01632469035
v|0.02054409963
w|0.001207976045
x|0.001352592895
y|0.006022866476
z|0.0005954811488
å|0.01138219682
ä|0.01528685178
ö|0.01110146999
 |0.128904655
,|0.01190962298
.|0.008506873554
